#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3352.433349609375,301.09584740663865
60000,-3323.80517578125,335.9461070688883
90000,-3300.77001953125,275.53234693490464
120000,-3282.2294921875,310.65117330599827
150000,-3301.42822265625,295.1375961850098
180000,-3209.299560546875,291.53323148014186
210000,-3325.416015625,287.5636456694357
240000,-3272.083251953125,305.9142989457291
270000,-3278.2822265625,301.2611516111695
300000,-3233.44677734375,331.2031912785591
330000,-3361.26025390625,307.5904407461706
360000,-3294.53271484375,331.0677488945093
390000,-3207.06591796875,300.3670512951344
420000,-3310.110595703125,290.39175941023217
450000,-3290.94677734375,293.03978223329705
480000,-3303.9208984375,330.9067232891138
510000,-3281.9375,308.32085410558506
540000,-3338.057861328125,282.04027417999134
570000,-3320.513671875,295.4371360181284
600000,-3326.09814453125,278.74697099093044
630000,-3287.78857421875,307.09748138597126
660000,-3306.241943359375,300.442031158997
690000,-3346.979248046875,301.34894461696956
720000,-3314.7841796875,311.78997746308454
750000,-3301.22265625,307.7708795094088
780000,-3311.6064453125,306.95065141659387
810000,-3324.81005859375,320.35361521635156
840000,-3301.72802734375,313.82711797717377
870000,-3351.192626953125,301.5363784928807
900000,-3210.83154296875,301.13995693521497
930000,-3212.76025390625,306.84328255020444
960000,-3250.778564453125,289.4252526720565
990000,-3250.806640625,302.5719068490319
1020000,-3310.633544921875,302.3461627867197
1050000,-3291.2705078125,307.20256928531455
1080000,-3302.75244140625,274.2753245371228
1110000,-3292.66943359375,305.95998601638473
1140000,-3264.601318359375,280.621899245994
1170000,-3346.51123046875,294.7488671787496
1200000,-3258.4404296875,310.97170357094376
1230000,-3305.611328125,295.40778668744815
1260000,-3286.74658203125,279.7216844592713
1290000,-3287.680419921875,328.6638674929305
1320000,-3342.229248046875,306.5324972348404
1350000,-3302.2978515625,326.2701533793514
1380000,-3274.51171875,294.4951061835852
1410000,-3275.10986328125,342.77265976978
1440000,-3225.23828125,314.8534202633497
1470000,-3278.235595703125,325.7732242293181
1500000,-3295.014892578125,319.0829666036033
1530000,-3268.9501953125,270.2756072793327
1560000,-3286.559814453125,289.5266169594319
1590000,-3336.333984375,291.80123758365374
1620000,-3346.240234375,295.9149560995951
1650000,-3311.70556640625,296.2016904704577
1680000,-3327.91796875,315.09228438432046
1710000,-3244.40625,322.8970402359715
1740000,-3388.534423828125,278.62828832944643
1770000,-3287.501953125,261.46734891815464
1800000,-3256.69677734375,283.8242875680844
1830000,-3286.669921875,299.02305327919964
1860000,-3301.473876953125,333.9306333490804
1890000,-3311.48095703125,280.0918639107375
1920000,-3227.28662109375,335.4665594001963
1950000,-3334.104248046875,328.5533197361856
1980000,-3341.88623046875,278.0858035594438
2010000,-3293.03515625,304.4815243328573
2040000,-3262.380859375,283.539535314069
2070000,-3296.44384765625,287.15916130789714
2100000,-3296.43603515625,291.82759237387876
2130000,-3279.39892578125,300.3851673457753
2160000,-3337.97509765625,331.8616288239871
2190000,-3270.30029296875,310.88164070874427
2220000,-3276.368896484375,297.81207099891174
2250000,-3226.5908203125,313.235388408527
2280000,-3334.1923828125,272.3844163320029
2310000,-3242.7685546875,304.36466916791034
2340000,-3295.90283203125,338.4220101389265
2370000,-3297.968505859375,291.6711452493923
2400000,-3300.2529296875,294.17366986637523
2430000,-3438.77783203125,319.49386030173457
2460000,-3327.138671875,293.70848209074694
2490000,-3322.77294921875,291.0055179648182
2520000,-3310.268798828125,278.6423287852965
2550000,-3258.0478515625,313.6840382158646
2580000,-3335.746826171875,314.7312339662573
2610000,-3340.982177734375,303.6145976451421
2640000,-3359.362548828125,278.34362962717415
2670000,-3303.17626953125,294.20392478249977
2700000,-3259.596435546875,313.6784704352688
2730000,-3311.299560546875,300.6988856449883
2760000,-3266.760498046875,264.80698473223407
2790000,-3298.61767578125,310.0300495984631
2820000,-3220.075927734375,288.6433525350058
2850000,-3337.85009765625,243.61388752596275
2880000,-3342.237548828125,311.7872093989701
2910000,-3339.8740234375,316.4752426327352
2940000,-3334.63525390625,266.9943480182419
2970000,-3367.93310546875,299.393824119402
3000000,-3224.171630859375,290.5565629191086
3030000,-3249.012939453125,293.30661721759947
3060000,-3296.633056640625,274.7095679913631
3090000,-3355.51171875,287.98527015975424
3120000,-3323.683349609375,292.09500973226864
3150000,-3407.91650390625,293.7701689154073
3180000,-3363.46533203125,291.49043911244826
3210000,-3328.3525390625,298.3807775872068
3240000,-3288.70751953125,291.9079349471705
3270000,-3291.485107421875,284.42124321638175
3300000,-3242.5615234375,283.2542284140237
3330000,-3348.474609375,282.6370310265497
3360000,-3274.454833984375,302.98484267080636
3390000,-3352.72021484375,323.7295257192606
3420000,-3319.58642578125,284.39782829315504
3450000,-3313.859619140625,265.7259972886504
3480000,-3297.300048828125,305.206974815958
3510000,-3252.337890625,313.10733684559926
3540000,-3362.201416015625,301.71553109144315
3570000,-3357.99169921875,291.6781848062843
3600000,-3333.7646484375,308.1579293483874
3630000,-3411.130859375,308.4099182574274
3660000,-3205.660888671875,327.08644781682585
3690000,-3338.27001953125,296.6962657466609
3720000,-3271.38427734375,291.1273217680635
3750000,-3342.983642578125,304.6496522188015
3780000,-3301.33154296875,294.21065877783667
3810000,-3313.7802734375,293.95985336894233
3840000,-3334.08984375,285.38665449694236
3870000,-3297.47412109375,310.2853837017312
3900000,-3382.906494140625,301.9419306876239
3930000,-3326.91943359375,299.07834295213087
3960000,-3270.457763671875,346.44695345802376
3990000,-3302.809814453125,325.41153111575755
4020000,-3406.142333984375,292.2584647172099
4050000,-3319.166015625,313.52293699212913
