#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3294.380859375,266.13534041091276
60000,-3300.15625,302.714471421226
90000,-3238.7490234375,283.67795074199444
120000,-3296.62109375,327.15336985840713
150000,-3263.966796875,328.7727266941667
180000,-3270.505126953125,336.81188261721604
210000,-3327.01123046875,292.5950046928142
240000,-3328.70849609375,304.60793734389927
270000,-3248.18115234375,310.9144884249381
300000,-3316.66455078125,268.82532371383036
330000,-3337.211181640625,337.97770236644516
360000,-3285.03125,308.840688603814
390000,-3347.33349609375,294.2939952060436
420000,-3213.63916015625,290.480663093046
450000,-3291.066162109375,304.97920363027333
480000,-3289.006591796875,285.66505397958645
510000,-3406.999267578125,313.40952987854445
540000,-3348.95458984375,298.69051574656226
570000,-3276.044189453125,306.1687662814462
600000,-3263.66162109375,284.94127326656286
630000,-3249.31787109375,281.9827477530672
660000,-3321.71875,304.73475364024097
690000,-3240.521484375,309.264148447449
720000,-3267.63720703125,309.13096571545236
750000,-3330.576416015625,294.2279890244392
780000,-3139.5869140625,297.2229445240456
810000,-3255.36572265625,273.90952326888015
840000,-3326.0078125,332.3172668412615
870000,-3301.062255859375,315.0151460337239
900000,-3268.976318359375,282.349371558465
930000,-3293.9453125,314.88274781344086
960000,-3242.74853515625,333.2915174402565
990000,-3307.673828125,252.88385304906697
1020000,-3303.240966796875,270.77901894655065
1050000,-3322.048828125,287.83790642883724
1080000,-3314.03564453125,286.9558340933952
1110000,-3254.24560546875,286.44747235395744
1140000,-3298.258056640625,319.5309132099987
1170000,-3344.08154296875,299.5697432308671
1200000,-3346.35107421875,289.3711306602336
1230000,-3303.206298828125,283.89166906028834
1260000,-3311.642822265625,281.6791754362463
1290000,-3363.68701171875,294.4606291637684
1320000,-3275.068603515625,274.1722068258206
1350000,-3246.29931640625,320.3036907128369
1380000,-3324.025146484375,310.7646130284415
1410000,-3308.263427734375,302.1686092235515
1440000,-3346.96240234375,305.4697260210184
1470000,-3381.580322265625,264.8286725897357
1500000,-3328.878173828125,296.2956651935347
1530000,-3316.34912109375,327.8848450802982
1560000,-3345.87451171875,309.90589463253554
1590000,-3245.77587890625,344.6953152759625
1620000,-3259.736328125,291.6320794190458
1650000,-3279.69091796875,278.18951491421535
1680000,-3326.946533203125,283.20469923211755
1710000,-3325.072509765625,276.29251342445406
1740000,-3343.89111328125,305.36789702966115
1770000,-3290.939453125,306.79986483770756
1800000,-3267.739990234375,312.44281126317617
1830000,-3339.269287109375,305.0937669529778
1860000,-3276.796875,315.5081559280237
1890000,-3280.5556640625,319.09160351141975
1920000,-3275.240234375,300.109403851412
1950000,-3308.905517578125,273.98392827633717
1980000,-3302.744140625,315.52665446108597
2010000,-3356.98876953125,307.83914068506607
2040000,-3239.86083984375,307.7061377563696
2070000,-3348.25634765625,316.82257811714663
2100000,-3319.46484375,272.6287313963134
2130000,-3340.7314453125,278.98674550265537
2160000,-3297.38671875,274.19340572754237
2190000,-3323.50830078125,327.3921705326395
2220000,-3326.1572265625,274.28686268991265
2250000,-3318.64404296875,264.2500466928901
2280000,-3342.4892578125,283.2568180091929
2310000,-3259.7529296875,324.03794749957547
2340000,-3329.025634765625,274.1095840152759
2370000,-3260.65234375,296.40850660267455
2400000,-3316.153564453125,286.24432349414406
2430000,-3195.4677734375,307.72808203607354
2460000,-3357.65234375,304.9431732263214
2490000,-3286.56982421875,303.84372926561366
2520000,-3291.181640625,287.84953040798604
2550000,-3308.52685546875,314.06373663922034
2580000,-3301.090087890625,288.12132904187524
2610000,-3245.68603515625,291.97313416113366
2640000,-3345.2734375,298.7689935454406
2670000,-3295.4609375,334.0322768797992
2700000,-3265.64501953125,304.5585838512364
2730000,-3327.1953125,286.43403355097047
2760000,-3244.7861328125,305.61619783159085
2790000,-3329.081787109375,273.09537752960614
2820000,-3376.05322265625,277.3715956503478
2850000,-3304.239013671875,301.6512061435342
2880000,-3376.888671875,278.3770920288385
2910000,-3310.8505859375,285.9885486669245
2940000,-3277.754638671875,281.88850962588816
2970000,-3316.982421875,323.51436294017986
3000000,-3274.591796875,312.8097240237358
3030000,-3281.433837890625,308.12100349519153
3060000,-3347.919189453125,297.5553086266616
3090000,-3357.529052734375,256.1061808475328
3120000,-3259.87890625,279.4280192900086
3150000,-3325.385009765625,292.6945538086847
3180000,-3275.41162109375,294.96824064891183
3210000,-3353.66064453125,338.6247091048731
3240000,-3396.1787109375,303.2845842812344
3270000,-3365.431884765625,278.2672395550473
3300000,-3359.7744140625,310.7248320197875
3330000,-3249.069091796875,306.5964605048385
3360000,-3292.188232421875,306.5330265762785
3390000,-3288.444580078125,302.1577346181045
3420000,-3275.848876953125,312.9543369824718
3450000,-3298.372314453125,301.26867727517725
3480000,-3260.601806640625,325.3476633202795
3510000,-3346.29931640625,292.40121570653406
3540000,-3264.57275390625,289.8107518535543
3570000,-3322.60888671875,324.1291303409154
3600000,-3271.08642578125,286.3813144121325
3630000,-3356.33642578125,273.93094793773514
3660000,-3217.21240234375,328.8898623217391
3690000,-3313.5068359375,280.3624172560969
3720000,-3327.27978515625,307.0029600376839
3750000,-3250.3994140625,264.0800961026608
3780000,-3232.22509765625,298.18293856862135
3810000,-3250.849609375,285.4123165970242
3840000,-3324.330322265625,289.71695323267693
3870000,-3289.176513671875,288.9473311241227
3900000,-3338.259521484375,285.78084695071254
3930000,-3284.41259765625,338.3030659275633
3960000,-3303.22705078125,313.05446519367086
3990000,-3238.17529296875,249.54336671065684
4020000,-3291.594970703125,330.53002136326717
4050000,-3252.0546875,301.79961772905784
4080000,-3321.72509765625,264.2618420554374
4110000,-3315.444091796875,289.37649209651687
4140000,-3299.359619140625,282.06649962838196
4170000,-3306.04833984375,299.99130012366504
4200000,-3312.3740234375,311.32236415346426
4230000,-3266.37744140625,280.9146991583422
4260000,-3255.391845703125,316.3361861529765
4290000,-3297.02001953125,311.8226147486571
4320000,-3151.3544921875,313.65858548544907
4350000,-3334.234619140625,295.74686002597696
4380000,-3189.6396484375,317.38812352976953
4410000,-3315.23828125,285.6641275569869
4440000,-3293.9384765625,302.6083202503764
4470000,-3274.50732421875,271.5219658295525
4500000,-3316.88720703125,291.9607330341148
4530000,-3266.7109375,314.5054513741418
4560000,-3256.087646484375,310.0332377550359
4590000,-3345.00634765625,266.2182594496481
4620000,-3312.8916015625,306.4944938643696
4650000,-3308.450439453125,296.1072448482381
4680000,-3284.687255859375,298.94870349383575
4710000,-3297.072998046875,292.9560179954087
4740000,-3376.88720703125,316.0230973248654
4770000,-3306.557373046875,285.1605799838879
4800000,-3356.67333984375,270.6835706623247
4830000,-3337.35595703125,330.77982689720227
4860000,-3236.81396484375,270.5595742765177
4890000,-3277.36083984375,307.9275337518887
4920000,-3230.69677734375,295.1764235228846
4950000,-3319.626220703125,320.15789706140527
4980000,-3273.31298828125,322.55979323182595
5010000,-3274.597412109375,313.9613750672479
5040000,-3243.79248046875,314.4440483451377
5070000,-3352.625244140625,292.7328300535046
5100000,-3270.82470703125,326.8823423869698
5130000,-3299.218017578125,350.39061409752253
5160000,-3262.103515625,288.8564780683878
5190000,-3313.14306640625,319.5057532378604
5220000,-3224.52978515625,319.3452473012583
5250000,-3320.33837890625,294.4191499832732
5280000,-3307.484619140625,279.1012027886252
5310000,-3339.06201171875,324.5576900750351
5340000,-3283.270751953125,317.69089046426075
5370000,-3350.80419921875,295.1177601725533
5400000,-3367.24658203125,286.03583389483015
5430000,-3266.799560546875,301.7894940707902
5460000,-3317.93359375,293.25092278851776
5490000,-3280.39306640625,318.96292135930673
5520000,-3338.2314453125,327.70284776117757
5550000,-3383.9658203125,306.66281983550016
5580000,-3243.08837890625,311.48870589399877
5610000,-3290.6103515625,294.98183407547344
5640000,-3241.487060546875,310.7112477704861
5670000,-3284.453125,293.06234780985307
5700000,-3347.682373046875,288.0316156623175
5730000,-3345.1376953125,295.72208084852554
5760000,-3311.295654296875,292.5045158645466
5790000,-3310.64892578125,308.90373087350844
5820000,-3275.1298828125,279.5138066562639
5850000,-3265.443359375,329.8781962195774
5880000,-3327.068115234375,301.99953339557686
5910000,-3301.516357421875,301.41567069201005
5940000,-3334.14794921875,297.2095237744313
5970000,-3293.93017578125,310.9947444961243
6000000,-3290.880859375,292.11942265827724
6030000,-3399.3681640625,263.8976854383473
6060000,-3275.96044921875,302.97336732981404
6090000,-3402.815185546875,283.722214829672
6120000,-3344.0146484375,294.119301216803
6150000,-3262.539794921875,301.2020651336407
6180000,-3237.4375,283.3504012345878
6210000,-3350.9853515625,282.9640178977116
6240000,-3291.5087890625,326.10422450045917
6270000,-3372.13916015625,315.2674457111595
6300000,-3393.971923828125,294.0634220448597
6330000,-3317.369140625,292.99569836350815
6360000,-3322.283203125,294.7594854207549
6390000,-3338.078369140625,292.95292810938025
6420000,-3296.30615234375,294.4599092576824
6450000,-3261.7783203125,276.3188238634975
6480000,-3292.3349609375,320.459002151969
6510000,-3327.854736328125,310.80764994788376
6540000,-3292.33837890625,323.4948699626155
6570000,-3319.478515625,317.1494796352987
6600000,-3215.87353515625,274.2631280772914
6630000,-3348.03564453125,289.02138562960505
6660000,-3316.947509765625,329.1739016842131
6690000,-3372.46337890625,309.2070282952691
6720000,-3288.6201171875,305.2993911120995
6750000,-3342.152587890625,280.62596231253895
6780000,-3253.770263671875,279.7783312868023
6810000,-3322.7080078125,277.8820442388009
6840000,-3417.76123046875,254.13759248823825
6870000,-3272.611328125,298.61621187014737
6900000,-3284.119140625,293.29368481453196
6930000,-3322.102294921875,307.14297936180964
6960000,-3349.163330078125,301.2258317258926
6990000,-3280.80224609375,284.87625163197515
7020000,-3352.99462890625,293.4598378389286
7050000,-3414.878173828125,280.2783497874899
7080000,-3282.54736328125,303.0063400273174
7110000,-3365.732177734375,287.36248794795324
7140000,-3262.580322265625,273.8997202899596
7170000,-3337.9580078125,304.3990546232342
7200000,-3313.66455078125,272.5501809440561
7230000,-3268.5751953125,300.63880052606436
7260000,-3375.72216796875,272.70228145036094
7290000,-3289.28466796875,310.08970703665244
7320000,-3320.377685546875,285.9878411666664
7350000,-3251.42236328125,283.08391920469825
7380000,-3345.46533203125,288.1080426197674
7410000,-3309.77001953125,302.2460863337998
7440000,-3190.17138671875,304.90608219712965
7470000,-3205.36572265625,309.76253619590193
7500000,-3329.19189453125,285.9779586242856
7530000,-3221.436279296875,285.5836810199032
7560000,-3250.908447265625,294.34954151561254
7590000,-3298.431884765625,337.86103392630525
7620000,-3381.923583984375,300.4893707273831
7650000,-3333.221923828125,343.61394070183235
7680000,-3339.4560546875,302.010802552216
7710000,-3290.772705078125,292.94343501581426
7740000,-3306.2900390625,314.40139371000384
7770000,-3364.285400390625,323.5666353810738
7800000,-3285.12109375,342.88132810032357
7830000,-3385.677734375,288.55403274035496
7860000,-3272.458251953125,309.52904037477686
7890000,-3279.843505859375,275.9102530854277
7920000,-3259.357421875,287.7173813717442
