#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3321.513671875,297.7931687137297
60000,-3317.54052734375,321.041767839541
90000,-3250.369140625,297.85552569629823
120000,-3274.18310546875,282.1068667118159
150000,-3214.337158203125,272.7138749833671
180000,-3343.1904296875,288.1334672332445
210000,-3338.92578125,293.8501976419019
240000,-3296.567626953125,289.8746957243991
270000,-3415.891845703125,296.2446108007442
300000,-3313.48193359375,294.3786156802809
330000,-3285.442626953125,282.94119604177405
360000,-3347.04296875,241.94558423617215
390000,-3271.337890625,303.4075033941942
420000,-3291.107421875,310.45243278582893
450000,-3341.586181640625,276.29270525653504
480000,-3281.9228515625,296.89577396485623
510000,-3269.56103515625,247.58177876064883
540000,-3264.8603515625,270.898218530587
570000,-3284.315185546875,289.30694202055236
600000,-3244.33740234375,288.0036127030582
630000,-3243.241943359375,287.2223925565199
660000,-3272.25244140625,314.70404051399413
690000,-3300.303466796875,303.8689365808264
720000,-3316.19482421875,329.5340622663001
750000,-3332.255859375,285.4450259271508
780000,-3343.670166015625,316.35057699817673
810000,-3282.219482421875,295.05649752992457
840000,-3371.42919921875,299.7372581003046
870000,-3387.47705078125,294.6795290628137
900000,-3266.07421875,296.19013497676724
930000,-3315.549072265625,310.0875444350455
960000,-3333.90380859375,307.7987800000066
990000,-3360.8017578125,310.42395745269965
1020000,-3328.374267578125,310.79695596267214
1050000,-3327.2099609375,317.7428451422095
1080000,-3280.029541015625,292.1219337329866
1110000,-3283.50634765625,295.5956435187638
1140000,-3320.27783203125,314.1001659344861
1170000,-3383.689208984375,298.39305831705775
1200000,-3297.4560546875,316.5030826978679
1230000,-3324.71435546875,320.78781575904475
1260000,-3283.97119140625,240.7531546153996
1290000,-3322.486328125,326.0427661157224
1320000,-3310.225341796875,327.4343720798201
1350000,-3378.498046875,292.69368964618616
1380000,-3205.40625,315.7837435609425
1410000,-3264.1767578125,298.5229140706067
1440000,-3337.738525390625,298.677397257301
1470000,-3278.68359375,301.6919774148956
1500000,-3344.59130859375,284.5305575934081
1530000,-3362.012451171875,294.8504340367024
1560000,-3255.44189453125,267.91161867678284
1590000,-3277.18310546875,296.6304770073658
1620000,-3286.009033203125,299.47549394897095
1650000,-3375.95556640625,314.47625081709384
1680000,-3334.79833984375,302.12380517101235
1710000,-3400.1826171875,292.6880129789675
1740000,-3324.2236328125,320.37323673105675
1770000,-3353.72021484375,274.9122801180478
1800000,-3313.00634765625,283.7857962130158
1830000,-3283.315673828125,289.7096536373584
1860000,-3202.128662109375,280.2638205301065
1890000,-3293.140625,294.9015958381239
1920000,-3348.214111328125,299.968677231058
1950000,-3267.155029296875,318.06734272863645
1980000,-3194.732421875,300.99956503635485
2010000,-3304.0859375,289.42243553306264
2040000,-3351.1953125,296.89408422189405
2070000,-3305.949951171875,290.2448640529769
2100000,-3316.47021484375,290.07598883036445
2130000,-3302.580078125,342.98347516842375
2160000,-3313.107421875,320.2746387727264
2190000,-3293.182373046875,290.0710721757773
2220000,-3270.09228515625,334.9548986849926
2250000,-3283.739013671875,308.1322750740725
2280000,-3225.20166015625,278.3998778221011
2310000,-3359.85205078125,286.377598942994
2340000,-3284.2080078125,293.88029166175966
2370000,-3291.214599609375,292.56083414452536
2400000,-3332.44970703125,336.95816934174877
2430000,-3305.33154296875,306.45656920206613
2460000,-3171.86083984375,305.33067113269203
2490000,-3286.6259765625,297.65215170510857
2520000,-3331.734375,298.1810236391948
2550000,-3270.331787109375,307.19732756759606
2580000,-3293.4716796875,314.4188021010394
2610000,-3320.53955078125,287.7517572148162
2640000,-3333.7421875,320.998120786125
2670000,-3219.36181640625,294.5034816296632
2700000,-3290.50439453125,287.60849973049466
2730000,-3228.439208984375,295.2056040474708
2760000,-3313.500732421875,324.8422316103392
2790000,-3333.366943359375,329.9213391390289
2820000,-3294.54833984375,277.93442664563526
2850000,-3366.997802734375,284.84433489314216
2880000,-3261.25634765625,313.19069265826926
2910000,-3291.847900390625,313.46595271318546
2940000,-3334.425048828125,302.1798591295712
2970000,-3320.82666015625,302.3957884388113
3000000,-3289.84814453125,300.2618416091803
3030000,-3314.794677734375,293.6686365107424
3060000,-3346.04736328125,292.0460517309671
3090000,-3291.132568359375,306.2840260378326
3120000,-3346.042724609375,300.4606187339278
3150000,-3334.0224609375,301.3628992611509
3180000,-3334.353759765625,311.71764751865754
3210000,-3262.440673828125,300.27042450378013
3240000,-3199.7255859375,299.8779783500322
3270000,-3327.160888671875,280.51424350391443
3300000,-3204.675048828125,275.65879604289853
3330000,-3263.489501953125,300.36582128925266
3360000,-3287.511474609375,337.2444971383515
3390000,-3226.0048828125,294.97399981761976
3420000,-3236.6015625,281.65128108449704
3450000,-3191.3212890625,318.53323864844083
3480000,-3292.638427734375,322.5027272299707
3510000,-3226.654052734375,325.3431596203722
3540000,-3322.11962890625,315.4332346860029
3570000,-3308.61962890625,319.87779935876887
3600000,-3331.27587890625,338.36120560277203
3630000,-3310.236328125,300.9334445054337
3660000,-3369.70849609375,308.02461599406547
3690000,-3324.7939453125,291.2154360110281
3720000,-3373.1953125,309.4841590226921
3750000,-3285.356201171875,284.53455108007904
3780000,-3304.84814453125,263.94989242688996
3810000,-3300.4921875,307.778023333689
3840000,-3362.3603515625,304.71853968106365
3870000,-3250.465087890625,285.2123246062221
3900000,-3301.08154296875,317.907429396584
3930000,-3351.38330078125,297.3310344696923
3960000,-3257.57470703125,292.8450260947647
3990000,-3363.68115234375,296.8445215742042
4020000,-3242.657470703125,295.1205754940497
4050000,-3306.22021484375,289.5191703173893
4080000,-3305.362060546875,326.31988172535347
4110000,-3251.751953125,321.79241026706563
4140000,-3273.224609375,303.7793533624867
4170000,-3407.011962890625,289.30895940517445
4200000,-3385.81494140625,308.4920941396572
4230000,-3342.131591796875,312.6108083660197
4260000,-3385.08984375,286.0016503049567
4290000,-3326.849853515625,307.60040671062313
4320000,-3317.712646484375,320.1680675942949
4350000,-3254.28125,308.6166794109586
4380000,-3258.333251953125,306.23790194840655
4410000,-3308.07275390625,303.88387255284226
4440000,-3350.192626953125,281.97284024886477
4470000,-3336.2001953125,282.0798684181356
4500000,-3241.950927734375,307.94774695137716
4530000,-3428.61474609375,307.1543775534223
4560000,-3365.381103515625,296.49427001430126
4590000,-3231.61083984375,328.5059851102173
4620000,-3332.05859375,299.71834968443517
4650000,-3324.7255859375,302.29277362708143
4680000,-3295.531005859375,316.1220936048585
4710000,-3366.646728515625,304.0688491754728
4740000,-3354.912109375,307.2048638815512
4770000,-3210.939208984375,285.26076742412135
4800000,-3240.639892578125,311.326543569226
4830000,-3343.672607421875,297.3813693175297
4860000,-3277.490234375,284.2482450632492
4890000,-3323.362060546875,293.3759880521619
4920000,-3240.71923828125,260.70755550586495
4950000,-3335.365234375,278.72042998189227
4980000,-3283.9189453125,297.310619578995
5010000,-3249.718017578125,288.81973875555605
5040000,-3409.15625,304.18977878121797
5070000,-3341.91015625,308.64289403434424
5100000,-3344.34375,293.0173168386365
5130000,-3357.350830078125,264.62283570424944
5160000,-3355.104736328125,275.6943781705319
5190000,-3350.955078125,305.8002920987937
5220000,-3326.3427734375,305.5812127865531
5250000,-3360.891845703125,291.80007830592575
5280000,-3245.0888671875,295.77901521688375
5310000,-3330.58740234375,309.546322025154
5340000,-3302.005859375,282.3464148451344
5370000,-3317.634765625,295.08226251815324
5400000,-3327.0361328125,292.2534560092744
5430000,-3311.17822265625,300.7932741927282
5460000,-3238.023193359375,293.4721912001233
5490000,-3312.240234375,299.67269639948194
5520000,-3283.12451171875,302.9986669236241
5550000,-3300.08740234375,316.7126898287808
5580000,-3266.375732421875,308.114654310256
5610000,-3358.65673828125,302.14962348936587
5640000,-3308.21826171875,293.8803057953118
5670000,-3323.296630859375,304.3419767680638
5700000,-3320.294189453125,299.12831784121244
5730000,-3291.83544921875,312.0624864503846
5760000,-3319.7275390625,322.14307584097105
5790000,-3272.81689453125,319.0977871992165
5820000,-3317.394287109375,286.74005681083855
5850000,-3342.4580078125,276.85960168429705
5880000,-3341.05224609375,299.8559319477013
5910000,-3266.14306640625,294.7069205643539
5940000,-3330.17724609375,278.64345454664146
5970000,-3328.94189453125,300.83573403428846
6000000,-3333.133056640625,254.9713029239991
6030000,-3258.302001953125,287.6842536115941
6060000,-3296.46240234375,305.6819221056308
6090000,-3344.44189453125,290.9966230800923
6120000,-3368.84130859375,288.83032029586514
6150000,-3302.08154296875,278.6944998086904
6180000,-3328.31005859375,275.02703875113326
6210000,-3354.48388671875,310.3529418919017
6240000,-3233.45458984375,303.3352925901115
6270000,-3246.117431640625,323.5117950374589
6300000,-3299.04345703125,320.29086440077594
6330000,-3256.917236328125,302.37515467677986
6360000,-3361.308837890625,307.31680512754264
6390000,-3316.13671875,305.92559747286583
6420000,-3336.221923828125,267.34788180388034
6450000,-3342.125,283.3224043966306
6480000,-3323.64306640625,321.93843838627714
6510000,-3313.9404296875,304.0244546825575
6540000,-3286.2041015625,281.50403362281713
6570000,-3320.75390625,327.0616861141186
6600000,-3294.866455078125,297.6244187454186
6630000,-3290.5458984375,333.84347342693394
6660000,-3219.23876953125,270.99248024320264
6690000,-3311.12548828125,313.1172776866385
6720000,-3267.8974609375,315.27112223019344
6750000,-3365.2490234375,283.5894970619993
6780000,-3350.242919921875,292.4487801059647
6810000,-3310.890625,265.3377006774373
6840000,-3347.841064453125,286.76553648298085
6870000,-3273.275390625,288.7989898178873
6900000,-3333.490234375,339.3719657231818
6930000,-3310.6279296875,312.3399567437851
6960000,-3336.295166015625,285.97311604434907
6990000,-3365.75146484375,286.6396055209019
7020000,-3351.1767578125,296.13777948758417
7050000,-3300.7490234375,283.6484578461546
7080000,-3256.986572265625,313.85046460754637
7110000,-3330.27392578125,297.82743615495366
7140000,-3295.9833984375,289.89839968113506
7170000,-3323.475341796875,297.51264968629505
7200000,-3286.77783203125,270.82120140143877
7230000,-3347.78759765625,323.3422088118048
7260000,-3291.39892578125,293.53778792942336
7290000,-3310.91748046875,282.9911427780078
7320000,-3254.537841796875,294.6730243855446
7350000,-3208.7900390625,307.3086536572161
7380000,-3324.5869140625,302.03729152386205
7410000,-3338.008056640625,312.93934485982317
7440000,-3329.214599609375,316.24654714636085
7470000,-3279.288818359375,293.4038252478195
7500000,-3333.34912109375,286.51806457495877
7530000,-3269.38720703125,286.3745686075508
7560000,-3308.08642578125,308.4042546872896
7590000,-3334.31396484375,266.6551371277196
7620000,-3311.318359375,319.43575857770054
7650000,-3305.421630859375,308.0460763183519
7680000,-3256.417236328125,265.3764717842916
7710000,-3295.6767578125,295.126686819822
7740000,-3296.0205078125,284.38153561275254
7770000,-3411.564453125,284.3945241497224
7800000,-3312.0205078125,323.35677300725087
7830000,-3287.2255859375,301.40469771318755
7860000,-3326.667236328125,281.1481884472492
7890000,-3360.291259765625,295.6703997218968
7920000,-3260.00146484375,329.570067610496
7950000,-3367.7978515625,299.9158090100947
7980000,-3333.666015625,303.8949992770952
8010000,-3278.763916015625,316.3989040430394
8040000,-3301.9580078125,304.8568057918214
8070000,-3302.1337890625,315.5957623946838
8100000,-3211.66357421875,305.30590813561975
8130000,-3218.4443359375,261.4404257139691
8160000,-3285.44970703125,321.08727495101766
8190000,-3333.710205078125,299.1683161334405
8220000,-3320.96923828125,309.4041053294791
8250000,-3260.11962890625,298.299026751279
8280000,-3345.898193359375,301.2582424894216
8310000,-3227.34716796875,314.4810523858167
8340000,-3314.26416015625,304.0865457490092
8370000,-3358.2724609375,273.559470386666
8400000,-3316.06005859375,313.40243202462614
8430000,-3295.14208984375,308.1033139892474
8460000,-3336.29296875,291.15307783202877
8490000,-3216.307861328125,311.0212629296733
8520000,-3306.15185546875,296.31388257843145
8550000,-3359.67822265625,301.07107952101234
8580000,-3205.83984375,297.6238621329496
8610000,-3398.985595703125,291.6176417579841
8640000,-3281.26953125,292.5048318071378
8670000,-3281.9638671875,322.28360410355504
8700000,-3295.34130859375,279.57392004076206
8730000,-3349.1025390625,263.1461766321525
8760000,-3292.00048828125,284.57983347313564
8790000,-3260.7529296875,286.17419867766296
8820000,-3300.1376953125,289.8905019324725
8850000,-3361.824462890625,322.06053288628254
