#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3271.5078125,294.1584767115339
60000,-3351.77392578125,313.7605672078006
90000,-3227.989013671875,288.1914669005532
120000,-3313.03955078125,327.56762245177543
150000,-3289.4501953125,328.5555429395394
180000,-3342.08935546875,308.8125860323104
210000,-3191.14404296875,277.00187936366257
240000,-3240.487548828125,283.37242191651427
270000,-3427.2802734375,301.7096413126517
300000,-3312.71240234375,277.61632406270763
330000,-3244.3564453125,292.80648165073444
360000,-3380.8408203125,290.69555209188525
390000,-3330.7197265625,306.82817659198616
420000,-3305.822998046875,296.1123859356036
450000,-3316.822998046875,264.78430363319006
480000,-3230.756103515625,309.3850249785146
510000,-3312.998779296875,319.27775025473784
540000,-3340.222900390625,262.70847879020045
570000,-3366.873779296875,310.8944779053869
600000,-3238.390625,315.00099331251744
630000,-3322.720458984375,291.52122177368176
660000,-3311.2099609375,327.75242840919236
690000,-3290.6787109375,295.79825323065086
720000,-3328.570068359375,285.40563052665476
750000,-3329.6494140625,298.76274442365525
780000,-3356.18798828125,279.0849747399662
810000,-3255.964111328125,305.3739806881767
840000,-3397.23046875,306.98004004504554
870000,-3302.63818359375,321.76764095649526
900000,-3337.016845703125,320.3071235313344
930000,-3309.6142578125,291.5397081563614
960000,-3289.321044921875,309.35944078435483
990000,-3281.29736328125,293.42535462068645
1020000,-3326.74072265625,316.97733752019815
1050000,-3290.5224609375,285.1156591210246
1080000,-3268.5400390625,270.1885450205379
1110000,-3357.58203125,286.02934170908145
1140000,-3237.71826171875,299.74819815279824
1170000,-3273.163818359375,304.4535570869739
1200000,-3287.11083984375,315.83451884178487
1230000,-3258.513671875,317.39304231361166
1260000,-3262.6484375,280.2572255443519
1290000,-3282.37646484375,311.2569697401123
1320000,-3296.3564453125,275.52549929945866
1350000,-3299.6875,307.37157871383164
1380000,-3287.4326171875,287.71557180044914
1410000,-3375.984375,275.7872402277126
1440000,-3311.814208984375,343.331667429455
1470000,-3339.86279296875,323.4814003037941
1500000,-3275.463623046875,303.8690724695689
1530000,-3282.2998046875,292.77114503297366
1560000,-3325.511962890625,277.0629167712678
1590000,-3279.18603515625,316.77066925408917
1620000,-3282.60693359375,314.8379383124899
1650000,-3336.372314453125,276.2793467221353
1680000,-3283.282958984375,282.3843177872416
1710000,-3403.494140625,269.2741330202387
1740000,-3352.406005859375,319.3144358946746
1770000,-3298.67138671875,326.91833194007546
1800000,-3307.0478515625,288.49973048534366
1830000,-3308.65234375,307.8849883891981
1860000,-3298.55859375,291.90289396988214
1890000,-3285.78857421875,314.34213431252823
1920000,-3297.0654296875,300.5796283164384
1950000,-3277.41748046875,300.2932138667481
1980000,-3386.38671875,284.2288906308953
2010000,-3243.38427734375,292.19342737069536
2040000,-3355.43798828125,310.9358910104238
2070000,-3379.244140625,292.23632925179135
2100000,-3284.208740234375,287.33553047645296
2130000,-3268.001953125,315.18752505190406
2160000,-3360.900634765625,324.1530569986248
2190000,-3316.515380859375,301.7523255249652
2220000,-3272.480712890625,309.3102248518466
2250000,-3314.64404296875,318.4769099286653
2280000,-3312.71484375,315.5606752155935
2310000,-3403.346435546875,301.23780717534146
2340000,-3264.297119140625,274.2109819218654
2370000,-3353.747802734375,294.865980197372
2400000,-3305.50537109375,285.2805452223877
2430000,-3337.6201171875,295.1011646703078
2460000,-3329.734130859375,277.67523221533617
2490000,-3417.757080078125,307.1556064542787
2520000,-3226.38427734375,337.8898909804167
2550000,-3241.66064453125,302.2409528461363
2580000,-3309.320556640625,310.99824091642284
2610000,-3324.66015625,302.89762167029943
2640000,-3271.5087890625,300.73712541744146
2670000,-3297.784423828125,311.72645894866685
2700000,-3310.44775390625,274.22196146391855
2730000,-3322.238037109375,284.3323627019676
2760000,-3252.78515625,301.81271845956553
2790000,-3268.21240234375,336.7700867245292
2820000,-3284.587890625,298.49130263298684
2850000,-3324.21044921875,298.563545244499
2880000,-3334.608642578125,296.50818209133774
2910000,-3309.52783203125,300.3101782662948
2940000,-3300.7119140625,286.30194812061023
2970000,-3368.64111328125,316.0647635721216
3000000,-3327.99267578125,330.7865610606597
3030000,-3314.1796875,310.7530609281746
3060000,-3340.7900390625,308.81208045789543
3090000,-3314.66796875,305.03226398201724
3120000,-3310.089599609375,292.7498115931866
3150000,-3282.983642578125,284.0937448441474
3180000,-3393.609619140625,282.95459357769397
3210000,-3304.120849609375,291.6538299292017
3240000,-3272.0390625,306.18553609614196
3270000,-3248.67138671875,331.2250426475814
3300000,-3305.2177734375,276.6806003322081
3330000,-3296.4521484375,295.111834756285
3360000,-3287.291015625,320.63523929202603
3390000,-3322.530029296875,291.06612186704615
3420000,-3368.68505859375,294.33083384058125
3450000,-3273.5439453125,278.0815144450206
3480000,-3356.96337890625,271.7318692998736
3510000,-3206.831787109375,307.1504739500388
3540000,-3324.65966796875,272.2804874194411
3570000,-3326.696044921875,303.9688106190477
3600000,-3309.4853515625,292.27640036143845
3630000,-3286.555908203125,272.17279858699277
3660000,-3364.34716796875,303.29302371391367
3690000,-3272.40185546875,290.3817062773127
3720000,-3285.12890625,283.8911931550706
3750000,-3306.96044921875,338.5424507815469
3780000,-3321.361572265625,288.13270509543867
3810000,-3388.25634765625,293.33524775742063
3840000,-3279.66552734375,343.5787493549204
3870000,-3313.1708984375,309.11416603569086
3900000,-3335.26220703125,288.4702904821888
3930000,-3327.36865234375,276.43219433822713
3960000,-3304.881103515625,309.958757260634
3990000,-3316.74560546875,293.0367874316836
4020000,-3308.8623046875,294.6197015209008
4050000,-3371.7412109375,303.5408684088611
4080000,-3223.3125,260.2688656924559
