Steps    Q        Rg       Backbone Rama     Contact  Fragment Membrane ER       TBM_Q    Beta     Pap      Helical  Debye_huckel Total   
42       0.66     10.15    131.67   -445.30  -95.43   -351.76  0.00     0.00     0.00     -19.37   -0.00    0.00     1.38     -778.80 
43       0.63     10.32    143.73   -457.03  -91.65   -355.59  0.00     0.00     0.00     -20.64   -0.00    0.00     1.39     -779.79 
44       0.70     10.29    133.51   -458.13  -89.12   -353.17  0.00     0.00     0.00     -18.74   -0.00    0.00     1.15     -784.51 
45       0.65     9.93     135.96   -456.79  -95.22   -350.75  0.00     0.00     0.00     -21.89   -0.00    0.00     0.83     -787.85 
46       0.67     10.15    129.08   -456.93  -91.80   -347.78  0.00     0.00     0.00     -22.54   -0.00    0.00     1.34     -788.64 
47       0.68     10.31    137.50   -459.04  -92.83   -352.08  0.00     0.00     0.00     -20.27   -0.00    0.00     1.01     -785.72 
48       0.57     10.44    109.00   -458.03  -88.78   -350.95  0.00     0.00     0.00     -19.15   -0.00    0.00     1.03     -806.88 
49       0.66     10.38    133.60   -460.62  -91.85   -352.46  0.00     0.00     0.00     -21.28   -0.00    0.00     1.07     -791.54 
50       0.53     10.83    119.50   -460.72  -88.60   -348.50  0.00     0.00     0.00     -21.22   -0.00    0.00     1.30     -798.25 
51       0.60     10.22    142.54   -459.33  -93.84   -351.75  0.00     0.00     0.00     -21.36   -0.00    0.00     0.88     -782.85 
52       0.67     10.21    129.91   -450.15  -94.85   -349.44  0.00     0.00     0.00     -21.06   -0.00    0.00     1.10     -784.49 
53       0.60     10.57    122.74   -461.81  -85.71   -352.43  0.00     0.00     0.00     -18.85   -0.00    0.00     1.26     -794.82 
54       0.70     10.38    135.65   -459.81  -89.17   -350.51  0.00     0.00     0.00     -21.08   -0.00    0.00     1.17     -783.74 
55       0.65     10.30    135.00   -455.58  -92.99   -350.89  0.00     0.00     0.00     -20.95   -0.00    0.00     0.84     -784.56 
56       0.65     10.29    122.63   -458.50  -92.86   -350.80  0.00     0.00     0.00     -18.57   -0.00    0.00     0.68     -797.41 
57       0.63     10.35    135.76   -455.59  -94.30   -351.97  0.00     0.00     0.00     -19.45   -0.00    0.00     0.83     -784.72 
58       0.54     10.55    102.80   -449.95  -90.89   -355.58  0.00     0.00     0.00     -20.98   -0.00    0.00     1.14     -813.45 
59       0.64     10.23    107.20   -451.03  -89.88   -347.55  0.00     0.00     0.00     -20.94   -0.00    0.00     0.95     -801.24 
60       0.68     10.46    120.26   -449.00  -88.08   -352.30  0.00     0.00     0.00     -20.34   -0.00    0.00     1.06     -788.40 
61       0.62     10.55    119.15   -450.69  -83.74   -354.39  0.00     0.00     0.00     -22.04   -0.00    0.00     1.29     -790.40 
62       0.69     10.35    129.00   -455.32  -92.80   -351.61  0.00     0.00     0.00     -20.38   -0.00    0.00     0.33     -790.79 
63       0.69     10.03    123.95   -452.35  -92.79   -347.56  0.00     0.00     0.00     -20.29   0.00     0.00     0.66     -788.37 
64       0.60     10.10    134.01   -451.04  -95.69   -352.94  0.00     0.00     0.00     -20.23   -0.00    0.00     0.57     -785.32 
65       0.61     10.23    136.53   -457.18  -91.47   -355.59  0.00     0.00     0.00     -21.21   -0.00    0.00     0.90     -788.02 
66       0.67     10.31    133.83   -456.93  -90.38   -352.21  0.00     0.00     0.00     -19.03   -0.00    0.00     1.41     -783.32 
67       0.69     10.28    121.15   -457.16  -96.58   -356.13  0.00     0.00     0.00     -21.65   -0.00    0.00     1.01     -809.37 
68       0.68     10.28    143.73   -455.31  -95.89   -349.10  0.00     0.00     0.00     -19.50   -0.00    0.00     0.87     -775.19 
69       0.71     10.16    124.69   -458.46  -93.40   -354.05  0.00     0.00     0.00     -22.02   -0.00    0.00     1.27     -801.97 
70       0.60     10.46    117.63   -459.22  -90.91   -354.44  0.00     0.00     0.00     -21.67   -0.00    0.00     0.95     -807.66 
71       0.70     10.27    126.17   -450.58  -92.74   -349.11  0.00     0.00     0.00     -20.08   -0.00    0.00     1.40     -784.94 
