#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3259.896484375,336.96116540589856
60000,-3347.23974609375,273.80122655657925
90000,-3326.7353515625,287.3856916300503
120000,-3323.495361328125,295.8664218045276
150000,-3305.06689453125,325.1630865846283
180000,-3326.342529296875,343.96823828689537
210000,-3276.960693359375,321.3443220411387
240000,-3232.148193359375,315.6528116220252
270000,-3262.865478515625,286.3816811075442
300000,-3244.2783203125,300.7471492443367
330000,-3368.22119140625,325.4812053593608
360000,-3347.28662109375,294.47321029893334
390000,-3211.927734375,290.79293774432693
420000,-3317.30419921875,315.90883140742085
450000,-3280.89599609375,318.77200126866745
480000,-3289.9599609375,273.34285378264684
510000,-3316.281005859375,287.51892972838914
540000,-3354.72314453125,310.23609430706983
570000,-3274.73388671875,313.8781023306151
600000,-3281.4443359375,299.93373170740836
630000,-3296.620849609375,291.5241322097896
660000,-3267.221435546875,289.7189900735806
690000,-3331.58837890625,296.35548972151946
720000,-3368.2998046875,333.011976582275
750000,-3344.967529296875,303.03931436848467
780000,-3256.36572265625,318.942924214725
810000,-3308.7392578125,283.1695833958178
840000,-3279.5205078125,332.66603439940263
870000,-3244.9111328125,300.5991805785333
900000,-3375.241943359375,305.95943456790997
930000,-3341.916015625,304.74087903101145
960000,-3244.072265625,282.4283139584942
990000,-3267.9599609375,304.553547303843
1020000,-3360.28271484375,288.46465281893865
1050000,-3303.21533203125,316.95006955951703
1080000,-3274.928955078125,275.84245012805303
1110000,-3342.885009765625,280.1070374705569
1140000,-3383.959228515625,298.1458823012106
1170000,-3359.591796875,326.2603005045356
1200000,-3330.587890625,310.43205402187186
1230000,-3286.679443359375,297.679478202755
1260000,-3272.29248046875,269.9192462380868
1290000,-3250.01611328125,283.5681119292224
1320000,-3367.63623046875,302.0863693657382
1350000,-3236.18505859375,296.71801772583143
1380000,-3270.58349609375,302.6576154264261
1410000,-3326.39306640625,313.4279246306255
1440000,-3290.58740234375,290.21723446824876
1470000,-3257.140625,283.18716419142095
1500000,-3265.166015625,261.7411241682477
1530000,-3334.245361328125,318.25666240545604
1560000,-3281.227783203125,267.7315330581132
1590000,-3325.3017578125,274.56660858886426
1620000,-3293.15673828125,265.8604132657059
1650000,-3327.62548828125,303.74735376633646
1680000,-3346.12939453125,302.3926703901417
1710000,-3322.07177734375,294.68829013337205
1740000,-3228.21875,336.074411442691
1770000,-3291.258056640625,308.6027556650499
1800000,-3284.827392578125,296.79482935616664
1830000,-3349.626953125,290.92628756285444
1860000,-3323.75830078125,303.2294943875488
1890000,-3240.55029296875,302.11866873715854
1920000,-3264.55126953125,308.50605989122073
1950000,-3345.511474609375,295.2485307385902
1980000,-3303.33154296875,285.15228723027104
2010000,-3312.659912109375,290.66064140836403
2040000,-3252.004150390625,291.6844235119404
