#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3281.969970703125,302.2306486068069
60000,-3265.58251953125,310.7933190025678
90000,-3279.1484375,307.34480741268743
120000,-3353.267578125,299.22495721875697
150000,-3241.545654296875,305.35697674357436
180000,-3256.3525390625,297.0315610433765
210000,-3289.0947265625,303.51087153983224
240000,-3289.34521484375,279.12076473968716
270000,-3369.831298828125,306.26484018877215
300000,-3255.430908203125,293.8734709684485
330000,-3294.811767578125,303.76690664378515
360000,-3357.9189453125,343.88070473722075
390000,-3240.3232421875,330.1478261619782
420000,-3336.493896484375,280.7591438758529
450000,-3280.3662109375,288.11766084072815
480000,-3288.681884765625,284.0583094873899
510000,-3267.220458984375,330.6387987077482
540000,-3283.09521484375,279.9273760535058
570000,-3275.65234375,295.930610499705
600000,-3356.42431640625,300.2551502919805
630000,-3231.857177734375,325.02682907133726
660000,-3261.3046875,304.30257069762536
690000,-3292.61181640625,295.023661496477
720000,-3334.845947265625,349.6855783610742
750000,-3375.156005859375,256.04626808482146
780000,-3317.724609375,303.2439026895387
810000,-3348.71533203125,307.19118754544064
840000,-3264.787109375,305.7869318293245
870000,-3352.40625,272.2027364244882
900000,-3282.63916015625,289.1274001788371
930000,-3350.9912109375,292.90786567350426
960000,-3247.939697265625,304.73599040522186
990000,-3277.69775390625,301.70571061819163
1020000,-3310.835693359375,285.60133732775085
1050000,-3347.9765625,286.41832452637067
1080000,-3352.496337890625,319.1677606549674
1110000,-3257.97265625,249.24685276717207
1140000,-3279.73876953125,302.21917946179155
1170000,-3282.8466796875,287.7993284582224
1200000,-3299.90576171875,289.1808452002019
1230000,-3367.035888671875,278.58724250416253
1260000,-3308.117919921875,307.8503036939784
1290000,-3223.2119140625,302.8303106483557
1320000,-3330.85986328125,297.6111214073085
1350000,-3298.612548828125,297.709283254393
1380000,-3242.28515625,285.5603099451285
1410000,-3262.008056640625,272.1514297986351
1440000,-3350.508056640625,277.33402660545414
1470000,-3347.5390625,273.52626027294826
1500000,-3347.635986328125,297.2634140459446
1530000,-3208.31298828125,279.30229182398614
1560000,-3236.034423828125,346.79884630626003
1590000,-3312.27001953125,310.4141274969591
1620000,-3275.863525390625,278.9989985954459
1650000,-3312.369140625,252.06885676179485
1680000,-3326.16650390625,263.49816867069956
1710000,-3273.4638671875,326.24907955605727
1740000,-3279.259521484375,298.7325090666433
1770000,-3304.83203125,286.31471400312546
1800000,-3295.83203125,287.2511945666562
1830000,-3377.283203125,285.65833939809295
1860000,-3341.545166015625,307.9345621540636
1890000,-3305.626953125,298.2928615322595
1920000,-3162.74072265625,264.6071287574891
1950000,-3358.33154296875,314.3685004427293
1980000,-3314.7724609375,276.62094985061873
2010000,-3341.758544921875,295.6525460796926
2040000,-3305.79833984375,302.632447554254
2070000,-3345.1884765625,256.6050709214302
2100000,-3338.481201171875,292.12229831301727
2130000,-3305.8984375,323.81453477232964
2160000,-3240.2041015625,306.5734902229354
2190000,-3279.929931640625,334.5930261035569
2220000,-3268.8662109375,294.8357797849517
2250000,-3381.724853515625,311.21260147890024
2280000,-3407.73779296875,290.03356700037176
2310000,-3288.4208984375,272.15652348906224
2340000,-3297.012939453125,311.50862332536246
2370000,-3325.1044921875,270.8450494064769
2400000,-3315.57421875,290.1337369152617
2430000,-3261.85693359375,274.6981403558022
2460000,-3305.345947265625,299.8832939514293
2490000,-3298.64404296875,284.40202780748416
2520000,-3309.489013671875,275.2794475404406
2550000,-3326.7548828125,314.6458729095543
2580000,-3325.552734375,275.0304865739822
2610000,-3313.45361328125,319.4215332398405
2640000,-3239.8974609375,324.50675937490183
2670000,-3282.55908203125,303.5433915188802
2700000,-3312.45361328125,302.3468016913434
2730000,-3240.12646484375,288.3145445448194
2760000,-3376.52490234375,299.28292816866747
2790000,-3289.220703125,316.47059005636464
2820000,-3178.108642578125,284.17828021347515
2850000,-3219.073974609375,287.9361263509636
2880000,-3323.658447265625,284.65218580207994
2910000,-3345.70947265625,338.86460066278056
2940000,-3216.6357421875,275.22395631238834
2970000,-3294.730712890625,308.42121851800124
3000000,-3291.306396484375,300.4683710109762
3030000,-3376.485595703125,285.4878457947967
3060000,-3324.37744140625,294.0702989165516
3090000,-3346.05908203125,307.7379427358402
3120000,-3317.90771484375,296.29026759827445
3150000,-3278.37548828125,305.62579330894187
3180000,-3278.32763671875,289.02898531848007
3210000,-3233.5693359375,340.34139745662367
3240000,-3232.45703125,300.19897584321615
3270000,-3360.59765625,286.0336004149035
3300000,-3313.91650390625,300.3277617240787
3330000,-3235.371826171875,267.0396267354977
3360000,-3148.303955078125,335.0587397368144
3390000,-3362.285888671875,337.9139517167161
3420000,-3368.516845703125,294.5093065530946
3450000,-3342.38916015625,292.8548942036695
3480000,-3308.22802734375,288.3465972307984
3510000,-3346.50439453125,294.1746471585003
3540000,-3379.62109375,326.27533844574805
3570000,-3327.473388671875,307.1210056756989
3600000,-3242.142822265625,324.0266328981551
3630000,-3344.8291015625,320.4201252238355
3660000,-3267.214111328125,348.6717743755973
3690000,-3386.18701171875,318.9124799209979
3720000,-3273.13623046875,311.1261788274078
3750000,-3396.732421875,291.5508316422534
3780000,-3351.990234375,297.21476359834514
3810000,-3310.87646484375,321.5226405438499
3840000,-3296.730224609375,311.32863740054904
3870000,-3276.13818359375,262.18655267151536
3900000,-3371.857421875,315.69506069264247
3930000,-3242.13720703125,310.32062714316356
3960000,-3336.22998046875,294.79402184017505
3990000,-3324.19921875,282.63413141381466
4020000,-3336.564453125,340.53106767377545
4050000,-3340.282958984375,305.81339295008695
4080000,-3257.06591796875,312.5606571890714
4110000,-3287.55615234375,281.2888140377599
4140000,-3316.523193359375,277.5588364961151
4170000,-3388.7490234375,270.87057176328534
4200000,-3231.09716796875,279.1059775282457
4230000,-3322.03857421875,266.8435147426475
4260000,-3256.8095703125,313.6050640394185
4290000,-3334.194091796875,304.71240464213207
4320000,-3392.90673828125,287.37358501433266
4350000,-3249.97265625,287.48926106659076
4380000,-3340.5205078125,296.54170049510117
4410000,-3371.990478515625,321.48099892992735
4440000,-3257.83056640625,287.0491179976904
4470000,-3291.5341796875,277.56510551896696
4500000,-3258.7451171875,294.41885334516525
4530000,-3334.9921875,320.6603251132067
4560000,-3332.27001953125,292.9059535584647
4590000,-3323.2744140625,286.3218376007076
4620000,-3274.72216796875,315.5841319567677
4650000,-3345.368896484375,307.1756720063793
4680000,-3326.5,305.3399480901474
4710000,-3321.97021484375,291.21132791673875
4740000,-3249.540771484375,324.26124118441123
4770000,-3335.5546875,300.88970927197107
4800000,-3273.130859375,285.35521061430575
4830000,-3327.835693359375,326.08590762655217
4860000,-3342.4521484375,277.66923775620023
4890000,-3273.184326171875,312.1917305691166
4920000,-3304.169677734375,287.9937760020926
4950000,-3262.11181640625,301.8977618369756
4980000,-3298.814208984375,299.33307263425957
5010000,-3338.193603515625,306.32635376601775
5040000,-3238.5615234375,281.3696885926354
5070000,-3224.94775390625,273.2747403506795
5100000,-3313.64697265625,337.86791000146485
5130000,-3286.138671875,296.84962725668674
5160000,-3349.080810546875,326.5923651216039
5190000,-3359.5341796875,310.54128437126604
5220000,-3321.22021484375,282.81926504308785
5250000,-3371.8798828125,292.8678171344496
5280000,-3295.49853515625,273.7939601903698
5310000,-3293.45263671875,297.28354442647344
5340000,-3356.78369140625,279.1889024691551
5370000,-3324.865234375,323.010762981206
5400000,-3291.91259765625,271.6000377801089
5430000,-3336.099609375,294.12355757628234
5460000,-3313.93896484375,292.7711682221845
5490000,-3228.06591796875,277.3081480730104
5520000,-3367.68115234375,301.735247824407
5550000,-3307.14990234375,297.8501185149019
5580000,-3351.48388671875,308.4616124517567
5610000,-3298.79833984375,311.07186829694786
5640000,-3330.385986328125,321.26625907809495
5670000,-3259.3125,301.6199070265686
