#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3354.021728515625,299.44822550514726
60000,-3367.025390625,307.8724245590245
90000,-3275.919921875,294.3777865390892
120000,-3317.26025390625,260.0800555343553
150000,-3333.945068359375,295.7309563047178
180000,-3299.402587890625,293.9620166822052
210000,-3300.462890625,286.82700645334575
240000,-3345.42236328125,296.7550045023251
270000,-3322.283935546875,263.7761548607905
300000,-3271.64306640625,293.703017054661
330000,-3250.66796875,302.1165309904616
360000,-3243.7509765625,323.2446322739804
390000,-3300.5732421875,313.171402489589
420000,-3344.947021484375,299.3097589816314
450000,-3328.604736328125,288.6850364006432
480000,-3345.474609375,293.40734818301456
510000,-3362.97998046875,292.491096393791
540000,-3285.91650390625,295.2538426821411
570000,-3376.49609375,295.24361351271966
600000,-3293.9794921875,307.6377745690776
630000,-3327.4375,270.7968891094557
660000,-3268.890869140625,294.044277597526
690000,-3271.32421875,275.4152916901761
720000,-3330.1494140625,266.78226986122075
750000,-3341.15576171875,292.61412460066794
780000,-3306.73583984375,287.058849179341
810000,-3312.73876953125,315.05777386689124
840000,-3284.548828125,333.21302826059593
870000,-3288.13037109375,287.88481555820994
900000,-3346.12841796875,284.16229973783805
930000,-3267.81103515625,296.03038323876353
960000,-3346.811767578125,289.9588935272414
990000,-3336.04345703125,315.2810754742041
1020000,-3322.769287109375,291.72950712121275
1050000,-3315.1494140625,294.8584238460584
1080000,-3339.078369140625,328.93911001760637
1110000,-3265.63330078125,339.0223813227652
1140000,-3319.66162109375,310.0811671670404
1170000,-3321.0029296875,276.93472130367485
1200000,-3345.951171875,281.14017272529276
1230000,-3384.130615234375,289.9323128442009
1260000,-3336.69775390625,316.27695604785487
1290000,-3275.50146484375,325.20998837423303
1320000,-3248.122802734375,314.4591592376126
1350000,-3277.279296875,298.391898595361
1380000,-3348.8779296875,298.92650702513976
1410000,-3237.62353515625,290.77823275852654
1440000,-3289.4501953125,294.97261352001556
1470000,-3249.50537109375,288.006920682251
1500000,-3309.63134765625,287.8946919762283
1530000,-3283.7490234375,300.40658040043803
1560000,-3357.56396484375,300.761381060959
1590000,-3304.62109375,281.9917536218422
1620000,-3415.307861328125,287.72977896007023
1650000,-3268.995849609375,288.14275888084535
1680000,-3255.0263671875,288.6490025045172
1710000,-3264.81396484375,285.6310690894369
1740000,-3360.755859375,313.3731505656825
1770000,-3390.22216796875,267.91269346332285
1800000,-3345.453857421875,272.37513662830645
1830000,-3372.384765625,305.0066985781858
1860000,-3366.13916015625,283.84255801378663
1890000,-3299.01318359375,309.65808325157354
1920000,-3299.56103515625,323.8720085236566
1950000,-3329.773193359375,304.46759151333544
1980000,-3283.1455078125,293.70774723580575
2010000,-3300.663818359375,294.8094932190268
2040000,-3319.5234375,295.66096175718235
2070000,-3237.1123046875,299.67869046524845
2100000,-3317.015869140625,311.2160805950235
2130000,-3277.94091796875,297.222175246829
2160000,-3334.274169921875,311.4860699106146
2190000,-3337.005859375,281.7266526382377
2220000,-3241.77490234375,297.67724600739984
2250000,-3311.08544921875,295.32516939409453
2280000,-3322.73291015625,279.2854551364837
2310000,-3319.685791015625,266.1040617401813
2340000,-3272.44189453125,267.4090387517284
2370000,-3337.46435546875,291.71004089603554
2400000,-3300.148681640625,335.2571382791701
2430000,-3261.3701171875,271.2148910066322
2460000,-3258.431396484375,290.1408317691258
2490000,-3305.9072265625,291.0386842621166
2520000,-3379.904296875,292.3145219337165
2550000,-3346.72998046875,306.17202954057177
2580000,-3360.34765625,305.3648802238421
2610000,-3266.4296875,311.4155909147258
2640000,-3378.45654296875,345.7878018548198
2670000,-3275.32177734375,310.03433135475564
2700000,-3296.98291015625,300.10120132303655
2730000,-3342.076416015625,303.30498530851503
2760000,-3307.333984375,288.2206800937786
2790000,-3306.21142578125,291.3728637418996
2820000,-3258.94384765625,314.7797029162931
2850000,-3320.002685546875,294.76276434447226
2880000,-3271.39013671875,297.2085128728856
2910000,-3236.462890625,339.16936835101694
2940000,-3297.154296875,294.8186332798325
2970000,-3318.30712890625,310.9753403612953
3000000,-3359.26220703125,273.91743591987915
3030000,-3358.196044921875,303.47786603433735
3060000,-3250.707763671875,299.63753291161476
3090000,-3333.779541015625,295.2148006987975
3120000,-3318.05078125,289.4312134793336
3150000,-3320.62548828125,272.5127447715284
3180000,-3320.77294921875,327.3320197406041
3210000,-3378.5244140625,313.28032362774303
3240000,-3347.01953125,347.4782833591684
3270000,-3353.502197265625,296.2007568888606
3300000,-3274.335693359375,312.0195072158792
3330000,-3334.4697265625,313.63033429945636
3360000,-3269.03955078125,294.7128224902634
3390000,-3319.695068359375,304.95339320787303
3420000,-3326.25146484375,316.69152855341827
3450000,-3344.5205078125,290.6677568382253
3480000,-3296.24560546875,274.57991836667117
3510000,-3291.98486328125,302.5429228402348
3540000,-3239.223876953125,312.8095451010282
3570000,-3378.0908203125,273.5823518046145
3600000,-3351.61962890625,278.67792304046105
3630000,-3356.443359375,290.92972765868683
3660000,-3368.150390625,282.64823960266114
3690000,-3299.239501953125,293.9515956431613
3720000,-3217.37646484375,294.9268848419713
3750000,-3324.1083984375,285.54172117376703
3780000,-3376.652099609375,310.907901131923
3810000,-3285.953125,296.86935190478255
3840000,-3290.69140625,325.341912309499
3870000,-3333.4609375,272.2731522070487
