#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3366.22607421875,260.25269620687794
60000,-3227.0712890625,291.86057694101953
90000,-3351.787841796875,287.36904347261054
120000,-3363.22900390625,332.8466165841635
150000,-3311.99658203125,303.2473800673281
180000,-3267.263671875,259.9463168676767
210000,-3228.97021484375,331.79152039354716
240000,-3332.72705078125,324.46018685368654
270000,-3267.0185546875,280.69661891473515
300000,-3317.392822265625,286.70760532622614
330000,-3285.359375,324.47402600924886
360000,-3291.836181640625,332.6924743859425
390000,-3356.20556640625,318.2621409793272
420000,-3353.54052734375,311.3063412216744
450000,-3308.294189453125,295.740937768906
480000,-3290.199951171875,330.63286895707085
510000,-3261.84521484375,314.4542853215554
540000,-3283.87841796875,327.8919285656219
570000,-3310.968994140625,315.5130184200445
600000,-3375.5849609375,303.55658095583135
630000,-3342.81103515625,282.873123960934
660000,-3328.0673828125,279.7303183531595
690000,-3336.15576171875,315.9244660819299
720000,-3343.57763671875,272.6532074621996
750000,-3235.72412109375,286.67697017037574
780000,-3278.06201171875,306.39851886089656
810000,-3297.39111328125,286.02274282064485
840000,-3306.055419921875,338.36635594084856
870000,-3198.75439453125,314.8126006516162
900000,-3340.901123046875,302.5887930284506
930000,-3300.5322265625,281.9873088718565
960000,-3324.7197265625,309.20958676201997
990000,-3307.94970703125,287.4590827204012
1020000,-3241.963134765625,290.98283230285165
1050000,-3339.34619140625,297.0756893728906
1080000,-3249.748779296875,291.70587357434414
1110000,-3257.96630859375,332.34502707687915
1140000,-3335.43408203125,295.010598764479
1170000,-3236.28125,313.54993563184405
1200000,-3287.076171875,274.0022610637523
1230000,-3397.166015625,299.18655669122563
1260000,-3347.5947265625,295.01235520151783
1290000,-3325.21728515625,308.97174286512444
1320000,-3287.21435546875,309.2324085787838
1350000,-3375.69775390625,290.66832553864367
1380000,-3332.9775390625,319.8215099465582
1410000,-3310.24560546875,337.340475910663
1440000,-3205.93994140625,281.5655570555181
1470000,-3384.7431640625,282.6367736890697
1500000,-3296.48681640625,304.4786861869554
1530000,-3268.43017578125,277.9504822238251
1560000,-3347.542724609375,298.29596952470837
1590000,-3250.733642578125,305.5464224561294
1620000,-3266.32666015625,274.81586155052844
1650000,-3343.601806640625,274.28275498899285
1680000,-3334.41943359375,310.477499109922
1710000,-3274.65966796875,291.5036334812077
1740000,-3350.34423828125,322.5996065751224
1770000,-3269.91259765625,279.8957503901122
1800000,-3330.8974609375,268.70672050971103
1830000,-3295.2392578125,304.84464982619227
1860000,-3408.361328125,286.076722759174
1890000,-3363.81201171875,326.9065339651307
1920000,-3344.111328125,294.75286789215596
1950000,-3244.80517578125,295.2673733605625
1980000,-3254.26123046875,291.3699693947655
2010000,-3261.3046875,287.17446373538564
2040000,-3343.51708984375,289.09023697043165
2070000,-3252.798828125,362.465503447563
2100000,-3273.96044921875,303.6588784771372
2130000,-3347.93017578125,288.20378825130877
2160000,-3302.0048828125,293.62878722718887
2190000,-3292.526611328125,313.31842302034977
2220000,-3291.2958984375,303.56252483353194
2250000,-3277.9521484375,308.51090905764727
2280000,-3381.38623046875,319.42219152811117
2310000,-3329.94140625,283.04963975672865
2340000,-3276.81298828125,307.78757693922876
2370000,-3358.6552734375,293.42138044176346
2400000,-3327.862548828125,329.24843967829275
2430000,-3354.3291015625,269.7442797205316
2460000,-3288.0068359375,278.0403470538861
2490000,-3386.658203125,342.4586975570235
2520000,-3308.2255859375,317.02806708938834
2550000,-3292.705078125,282.41464939408684
2580000,-3368.71923828125,318.62953025719395
2610000,-3348.108154296875,283.1676686185975
2640000,-3332.3232421875,321.14174014912277
2670000,-3266.09814453125,322.0061459638016
2700000,-3230.93115234375,315.66905664106673
2730000,-3284.09423828125,304.88137011120494
2760000,-3323.84765625,268.1230828885535
2790000,-3278.189453125,303.31771171126434
2820000,-3224.44873046875,290.8160591551823
2850000,-3376.0400390625,328.7929316051486
2880000,-3372.69287109375,274.9853512456043
2910000,-3296.288818359375,338.2805636606376
2940000,-3305.8212890625,336.90303920726603
2970000,-3276.263671875,296.9513928592501
3000000,-3263.27587890625,317.3649266866493
3030000,-3246.42529296875,309.7509405654695
3060000,-3314.276123046875,284.4986114742842
3090000,-3310.462890625,306.96766962695966
3120000,-3260.816650390625,319.09074212372644
3150000,-3364.097900390625,297.1037945004796
3180000,-3345.63818359375,308.6106542510508
3210000,-3352.713623046875,284.01054588550585
3240000,-3276.4169921875,308.54561746439407
3270000,-3261.505615234375,299.3747284188677
3300000,-3394.245849609375,290.11773839359694
3330000,-3400.734130859375,272.7036800452491
3360000,-3305.263916015625,291.65223125616427
3390000,-3302.5205078125,299.87006864359125
3420000,-3278.1552734375,302.6674571971242
3450000,-3331.37744140625,317.06877237424845
3480000,-3269.758544921875,284.2712330818707
3510000,-3254.9697265625,300.6818486557198
3540000,-3270.03125,292.63829495197655
3570000,-3247.829345703125,342.5787047130373
3600000,-3297.298095703125,322.96047004231343
3630000,-3327.24853515625,277.4069588491107
3660000,-3331.524169921875,268.22101442353704
3690000,-3313.63525390625,312.60221995690245
3720000,-3306.986328125,334.4043700450825
3750000,-3354.240234375,297.5585950064439
3780000,-3294.748046875,282.9739576222998
3810000,-3363.697021484375,292.2617286031149
3840000,-3271.5703125,299.6355953728301
3870000,-3372.126953125,319.7445752258617
3900000,-3291.57763671875,284.7900515835218
3930000,-3299.62060546875,312.47964805328445
3960000,-3357.526611328125,283.3755502841949
3990000,-3287.7978515625,321.03977230895873
4020000,-3320.904296875,299.76531408119564
4050000,-3363.27099609375,318.12756072890363
4080000,-3392.901123046875,267.10589899277034
4110000,-3251.899169921875,270.4862093525804
4140000,-3314.656982421875,295.29561466906455
4170000,-3252.525146484375,325.31596063971756
4200000,-3320.396484375,297.1027955950699
4230000,-3290.62060546875,290.6953122597539
4260000,-3343.590087890625,278.1978015534672
4290000,-3299.697509765625,279.1720551410906
4320000,-3328.90380859375,316.29764997092883
4350000,-3292.2216796875,260.08636020529366
4380000,-3325.25341796875,286.12170294329314
4410000,-3335.534912109375,310.46833421868985
4440000,-3307.399658203125,279.4512173556754
4470000,-3242.4306640625,293.3412855786016
4500000,-3306.6787109375,290.54408004510265
4530000,-3321.455078125,304.77549588877156
4560000,-3295.76904296875,297.19608928463424
4590000,-3354.656005859375,266.71029337638436
4620000,-3337.887451171875,303.36966190423004
4650000,-3319.544921875,290.4911110019983
4680000,-3253.668212890625,285.3424698462265
4710000,-3357.32958984375,316.8356926074239
4740000,-3344.03125,314.5607601750707
4770000,-3287.393798828125,334.32121511199085
4800000,-3295.052978515625,292.1699889595583
4830000,-3334.38671875,281.1846981278072
