#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3255.33935546875,252.90424363206222
60000,-3360.81494140625,264.2904180429952
90000,-3272.21728515625,291.1993055261542
120000,-3337.568359375,331.24003126459
150000,-3353.46484375,297.84335273009015
180000,-3314.78515625,293.16491717230116
210000,-3311.0615234375,294.6546883140658
240000,-3338.32568359375,296.759698819928
270000,-3337.09765625,309.6645054330662
300000,-3311.861083984375,323.4848516261621
330000,-3362.71337890625,290.40614050729675
360000,-3321.318359375,300.9014387426869
390000,-3319.64501953125,328.23566051327447
420000,-3341.9658203125,264.38809307498065
450000,-3283.08984375,280.78369738328934
480000,-3238.356689453125,322.52767411501975
510000,-3285.733642578125,283.8361305291515
540000,-3274.86083984375,308.88744889732527
570000,-3248.179931640625,280.3423776516899
600000,-3240.35595703125,293.9678130724773
630000,-3292.47265625,311.23380145789935
660000,-3280.326904296875,293.59243019050444
690000,-3271.82666015625,258.5926134874099
720000,-3318.2001953125,294.21768017770887
750000,-3266.578857421875,272.1528184058565
780000,-3350.5,321.2537709397121
810000,-3288.2373046875,292.59449591594756
840000,-3289.12890625,319.59482353997697
870000,-3303.89501953125,313.0299179246495
900000,-3315.845703125,287.2070085069105
930000,-3320.00537109375,334.34662929220013
960000,-3290.26513671875,314.3033016319291
990000,-3281.47509765625,296.7665188472859
1020000,-3256.2490234375,299.170250397955
1050000,-3309.92041015625,278.38448197181623
1080000,-3254.01318359375,318.7276449619693
1110000,-3275.658935546875,302.3376737368498
1140000,-3311.92529296875,275.60671905928706
1170000,-3276.24951171875,311.39609256709707
1200000,-3328.6884765625,271.326688078639
1230000,-3276.19775390625,301.786503467294
1260000,-3247.031494140625,276.6783730025556
1290000,-3273.51708984375,256.2228179160509
1320000,-3323.8017578125,298.7954286981065
1350000,-3318.794921875,309.4359990749699
1380000,-3344.3828125,293.0203659807303
1410000,-3316.2197265625,310.21316927489545
1440000,-3245.49462890625,320.16568912916114
1470000,-3280.3486328125,303.6166592340442
1500000,-3312.97705078125,267.10061570806096
1530000,-3299.04248046875,324.5619150865601
1560000,-3312.90283203125,330.0350864314965
1590000,-3313.0107421875,315.51909146819435
1620000,-3311.1298828125,307.092588681218
1650000,-3267.1025390625,294.32242451249874
1680000,-3417.575439453125,307.6167970494805
1710000,-3354.680908203125,274.88889998761454
1740000,-3233.7138671875,281.8942457735059
1770000,-3262.62890625,302.57718794082894
1800000,-3281.0947265625,267.33634840090417
1830000,-3330.53271484375,291.68289134282384
1860000,-3274.0302734375,278.3819981195788
1890000,-3207.982421875,305.6459093086343
1920000,-3286.773681640625,273.3567192127585
1950000,-3338.337158203125,281.3271181114282
1980000,-3317.462890625,312.70483291154125
2010000,-3319.09814453125,287.7950322925294
2040000,-3312.156005859375,311.30098170133294
2070000,-3289.3583984375,292.65774224971744
2100000,-3286.973388671875,303.281782112723
2130000,-3327.3271484375,281.67644885057365
2160000,-3357.365234375,342.61093075451583
2190000,-3311.701171875,296.68638589257677
2220000,-3313.7724609375,299.5410596575805
2250000,-3317.21875,297.6036096471154
2280000,-3239.07373046875,320.7451691224911
2310000,-3281.01171875,303.01219317643506
2340000,-3366.792236328125,299.6758153768951
2370000,-3270.416748046875,280.09904735923686
2400000,-3363.65576171875,308.71422350314833
2430000,-3361.89599609375,314.7435210912182
2460000,-3319.0234375,290.20841749189344
2490000,-3325.343017578125,268.5538713935921
2520000,-3258.03369140625,307.6876588950445
2550000,-3310.1767578125,271.9542708456449
2580000,-3363.2119140625,316.76730577552667
2610000,-3272.2666015625,324.8333691598224
2640000,-3272.85302734375,306.9699289648069
2670000,-3264.32080078125,312.5349248182705
2700000,-3240.21044921875,272.2919853098067
2730000,-3292.97998046875,294.4276566384662
2760000,-3323.3359375,304.3357983311779
