#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3245.1748046875,310.0071918528679
60000,-3338.718994140625,286.53523011524203
90000,-3305.569580078125,314.38043451289485
120000,-3343.34375,290.91241535324065
150000,-3375.329345703125,296.8726585826733
180000,-3256.019775390625,285.38858411284184
210000,-3355.376708984375,286.1476055381952
240000,-3299.21728515625,291.5156546427168
270000,-3234.15283203125,304.70145961865643
300000,-3370.7783203125,294.9075853989125
330000,-3327.64013671875,295.9430414444547
360000,-3269.39892578125,271.7173996404105
390000,-3341.69140625,268.1020614748017
420000,-3297.609375,325.5030465762684
450000,-3290.7021484375,293.94312641519446
480000,-3350.039794921875,288.29549815384973
510000,-3233.351318359375,314.27687075654393
540000,-3338.76806640625,283.19426186905747
570000,-3237.21484375,335.76142597607577
600000,-3290.673828125,281.06506443528156
630000,-3347.013671875,304.4377018791041
660000,-3326.35205078125,307.96816516327164
690000,-3380.8916015625,322.7423835194853
720000,-3224.7705078125,316.78979486049514
750000,-3228.953125,301.4457156924845
780000,-3252.570556640625,294.6205513751976
810000,-3296.7255859375,305.32385058301793
840000,-3286.8037109375,293.3839319964353
870000,-3346.61279296875,289.6989836329932
900000,-3236.34521484375,309.7871884056098
930000,-3275.5205078125,287.70851103343534
960000,-3257.650390625,298.39888407293074
990000,-3344.06201171875,290.35476018261596
1020000,-3315.65478515625,304.28292285328274
1050000,-3279.447265625,295.02178622105794
1080000,-3344.708740234375,283.4815433466409
1110000,-3335.89892578125,310.5471046118055
1140000,-3224.024658203125,292.0309566010184
1170000,-3146.03369140625,302.7891994568211
1200000,-3378.390380859375,288.1658802231467
1230000,-3318.13232421875,257.12272062124225
1260000,-3297.11328125,257.01681087803706
1290000,-3281.48486328125,292.88959592150337
1320000,-3244.42333984375,321.51900221837815
1350000,-3241.3056640625,326.8901449500186
1380000,-3240.56640625,317.6810834112732
1410000,-3339.5419921875,320.30654500810533
1440000,-3269.089111328125,311.91038012351765
1470000,-3332.26708984375,303.9475110367815
1500000,-3359.782470703125,287.7733402165077
1530000,-3350.039306640625,298.2303791586897
1560000,-3313.928466796875,312.0955184650631
1590000,-3220.819580078125,264.4988802272331
1620000,-3271.681640625,292.5458855814226
1650000,-3313.9208984375,269.47067717921453
1680000,-3313.12646484375,299.67148986029144
1710000,-3337.12939453125,315.4097450078902
1740000,-3317.76953125,294.98344358657386
1770000,-3314.783203125,309.3983343547909
1800000,-3370.126708984375,313.80257980788144
1830000,-3348.79150390625,255.67839536569238
1860000,-3259.39501953125,287.52405905058026
1890000,-3309.509033203125,295.10388359098897
1920000,-3348.322265625,249.79868847093826
1950000,-3316.490478515625,302.6474089475666
1980000,-3231.21826171875,285.5157879401182
2010000,-3341.024658203125,301.03424544368437
2040000,-3293.7119140625,279.42343879369326
2070000,-3374.166748046875,306.94405968062586
2100000,-3291.72607421875,313.98862761633416
2130000,-3396.5634765625,294.3989334768697
2160000,-3200.87109375,295.3291150529162
2190000,-3345.36181640625,266.646855248075
2220000,-3291.57373046875,276.9659137008141
2250000,-3273.1044921875,262.5563650023718
2280000,-3295.198486328125,265.6519739719791
2310000,-3220.703369140625,331.56521467555734
2340000,-3361.866943359375,299.9227482104417
2370000,-3319.54345703125,295.71977498209077
2400000,-3304.19677734375,315.1974852186458
2430000,-3344.305419921875,247.19707373331286
2460000,-3238.7548828125,278.6916026018747
2490000,-3257.959228515625,273.3652710144412
2520000,-3272.501953125,312.49719634286004
2550000,-3291.494873046875,299.3485159941072
2580000,-3302.6376953125,315.32989926674446
2610000,-3322.83447265625,326.1350271402905
2640000,-3261.4560546875,300.32170241774384
2670000,-3279.141845703125,340.55549621704097
2700000,-3334.81103515625,326.2798005937627
2730000,-3294.14306640625,284.7761067180806
2760000,-3267.222412109375,296.13908096918493
2790000,-3329.620849609375,300.9391688584969
2820000,-3348.88916015625,316.3873650398533
2850000,-3357.53662109375,314.1058291161512
2880000,-3345.458740234375,317.4939607150817
2910000,-3244.51904296875,308.56152395392957
2940000,-3355.8173828125,299.3534218049186
2970000,-3287.29296875,298.81310643724413
3000000,-3360.9921875,315.92344641608014
3030000,-3331.513671875,261.62508360451284
3060000,-3337.941162109375,293.22769144803925
3090000,-3258.66015625,313.02455767010684
3120000,-3317.092529296875,328.71987086678945
3150000,-3385.9267578125,297.75872904360773
3180000,-3366.753173828125,261.0689640519245
3210000,-3372.43310546875,298.66277949832
3240000,-3334.54833984375,291.76632655328183
3270000,-3246.36474609375,291.74955243845415
3300000,-3292.231689453125,334.51280660103953
3330000,-3329.9345703125,314.79971420136405
3360000,-3210.27783203125,286.79657938177394
3390000,-3316.2646484375,312.468620990243
3420000,-3252.3427734375,280.8236040710347
3450000,-3272.755615234375,323.6402861442298
3480000,-3364.717529296875,311.16411142565426
3510000,-3337.2626953125,320.0977179851269
3540000,-3306.38525390625,303.4507382029541
3570000,-3300.314697265625,284.03554066287757
3600000,-3334.77294921875,275.2252139798141
3630000,-3329.31494140625,288.20617088517935
3660000,-3324.49365234375,251.0569824966808
3690000,-3304.8193359375,295.3453042559338
3720000,-3254.0654296875,290.6834327218569
3750000,-3282.9931640625,302.6140518326233
3780000,-3298.7529296875,338.9920881175926
3810000,-3261.521728515625,308.2052123205397
3840000,-3337.139892578125,297.96695362127133
3870000,-3367.677734375,315.555558065004
3900000,-3288.51953125,299.18136334285145
3930000,-3331.493896484375,285.40202398902557
3960000,-3256.3974609375,294.13616278614745
3990000,-3233.943359375,290.46322171508484
4020000,-3302.0322265625,287.22220020212256
4050000,-3359.3828125,292.5113333162322
4080000,-3226.72021484375,285.9434860939404
4110000,-3284.99267578125,302.3451405941649
4140000,-3256.837646484375,307.68443166023627
4170000,-3304.91845703125,299.7281545355331
4200000,-3326.8515625,293.4449875577959
4230000,-3322.37646484375,309.5637642747305
4260000,-3394.75732421875,305.69812067851285
4290000,-3335.145263671875,294.0739592829545
4320000,-3325.994873046875,290.2945133105001
4350000,-3276.57177734375,270.2293473398278
4380000,-3313.111083984375,285.4340170782575
4410000,-3295.186279296875,267.2951293118832
4440000,-3377.36767578125,330.7023563811971
4470000,-3324.13232421875,272.94236221244563
4500000,-3259.642333984375,298.65210249491656
4530000,-3379.47412109375,297.75168072486
4560000,-3268.05029296875,289.8625222554616
4590000,-3262.84326171875,285.46891460104064
4620000,-3224.90771484375,301.1459002220452
4650000,-3243.64111328125,312.9237760167528
4680000,-3264.61328125,305.57969490115465
4710000,-3300.9775390625,299.02447638724794
4740000,-3299.765625,288.04472709378
4770000,-3354.49951171875,280.0815968750177
4800000,-3357.6904296875,303.2090129149912
4830000,-3260.994384765625,300.46394203004564
4860000,-3308.267333984375,289.91682317530194
4890000,-3312.087890625,278.33925251877946
4920000,-3275.2529296875,325.4421464888787
4950000,-3229.491943359375,293.81449114260016
4980000,-3299.765380859375,266.58608713368784
5010000,-3307.67578125,292.47936543447383
5040000,-3302.941162109375,283.1562154238157
5070000,-3277.943603515625,298.4307653726039
5100000,-3316.914306640625,280.37007951846283
5130000,-3340.509521484375,271.3999367855709
5160000,-3364.7734375,282.08806673696824
5190000,-3284.232666015625,258.2859196844253
5220000,-3257.57421875,247.36879733759415
5250000,-3322.876953125,285.2312472552103
5280000,-3317.051513671875,296.2237902486162
5310000,-3346.24267578125,287.86540707611806
5340000,-3265.0859375,282.13406152373364
5370000,-3306.38720703125,283.55454010125527
5400000,-3264.572265625,305.99351190885795
5430000,-3263.600830078125,291.6718939571407
5460000,-3302.39892578125,296.38374403324866
5490000,-3301.83984375,315.51764879144406
5520000,-3283.9814453125,273.6770682510919
5550000,-3328.924072265625,291.77850252525695
5580000,-3353.33544921875,319.63445484951944
5610000,-3242.78564453125,292.1727252374624
5640000,-3223.484619140625,295.80541797369824
5670000,-3226.828125,265.0429333791932
5700000,-3303.685302734375,289.43776674344286
5730000,-3240.879150390625,293.59530270869436
5760000,-3331.82763671875,293.499216589165
5790000,-3320.942626953125,297.5195600515187
5820000,-3258.326171875,290.2448742365122
5850000,-3288.92138671875,271.5080864136062
5880000,-3357.187255859375,294.19920934536435
5910000,-3375.497802734375,305.33625705969814
5940000,-3329.037109375,321.66710703775476
5970000,-3305.69091796875,323.26742963818094
6000000,-3294.570068359375,305.02346854467964
6030000,-3343.04052734375,296.7872608756896
6060000,-3316.838134765625,323.3487587559411
6090000,-3311.46630859375,309.94562256814226
6120000,-3262.84326171875,303.56465884811587
6150000,-3342.7568359375,290.77493218316704
6180000,-3226.684326171875,277.09746926986827
6210000,-3313.075439453125,298.48732117754514
6240000,-3351.866455078125,285.94737296606434
6270000,-3251.02001953125,297.94354812748577
6300000,-3351.73876953125,283.1154234515909
6330000,-3312.664794921875,292.0418993899596
6360000,-3355.47509765625,301.60041980019616
6390000,-3304.3203125,317.23024832074395
6420000,-3312.6083984375,305.49265763029734
6450000,-3322.871826171875,300.4045140323419
6480000,-3330.07421875,291.4459022312173
6510000,-3248.740478515625,296.97817977805926
6540000,-3328.14892578125,314.5355175357708
6570000,-3365.15625,299.7381223182992
6600000,-3264.568359375,302.68257166909785
6630000,-3295.14697265625,287.29987702653096
6660000,-3334.66650390625,293.6027504443368
6690000,-3335.294677734375,288.16254563846815
6720000,-3338.927001953125,308.9439527868843
6750000,-3305.56103515625,296.2195013349583
6780000,-3232.360107421875,289.10774832245255
6810000,-3317.98291015625,293.53635458907667
6840000,-3312.002685546875,306.5297950794918
6870000,-3252.744384765625,270.24011555485464
6900000,-3313.804443359375,274.17676606590345
6930000,-3308.64306640625,328.198575113673
6960000,-3334.9248046875,273.43424240354483
6990000,-3254.755126953125,347.102929066463
7020000,-3203.02978515625,307.55089458397583
7050000,-3363.5791015625,293.6850436404361
7080000,-3335.0830078125,324.2674891415945
