#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3300.92431640625,284.40197387996
60000,-3290.1591796875,285.18651283722517
90000,-3327.0458984375,281.06787045220307
120000,-3348.1650390625,315.61699675188794
150000,-3294.9541015625,289.47932673198
180000,-3281.88720703125,302.94177929604433
210000,-3326.054443359375,292.1711704928566
240000,-3361.814697265625,293.9725156394131
270000,-3249.685546875,326.06606173211645
300000,-3238.63818359375,275.5235875439196
330000,-3303.851318359375,292.22555257248627
360000,-3304.576171875,294.50526458241467
390000,-3337.4296875,307.6117712552736
420000,-3238.44384765625,313.717532292339
450000,-3356.62646484375,300.5520794001959
480000,-3294.988525390625,332.7094208431087
510000,-3300.359619140625,339.1201651042655
540000,-3284.2412109375,273.92229805770415
570000,-3380.148681640625,327.7583159126435
600000,-3311.53759765625,297.91283478088764
630000,-3315.436279296875,317.19870350538224
660000,-3298.5966796875,320.5920295299642
690000,-3307.8603515625,292.8234986924175
720000,-3349.279296875,284.73414159491773
750000,-3266.1298828125,283.4987480663583
780000,-3320.511962890625,268.9469557190887
810000,-3292.6982421875,306.15648601188656
840000,-3286.939697265625,311.6812329102728
870000,-3252.59228515625,288.76045695254805
900000,-3249.0146484375,307.2779627016642
930000,-3278.103271484375,275.5397952859008
960000,-3295.2763671875,301.1042980597326
990000,-3240.451416015625,316.36587283142217
1020000,-3301.9658203125,274.89755145010065
1050000,-3355.662109375,321.46357378253657
1080000,-3274.38427734375,323.9955794551021
1110000,-3387.219970703125,270.41891677493044
1140000,-3282.705810546875,311.2081866968113
1170000,-3304.49365234375,268.0256489528681
1200000,-3341.257080078125,283.4543045981302
1230000,-3376.698486328125,301.8245149499895
1260000,-3373.98583984375,294.12292682958605
1290000,-3316.00146484375,305.10514418828177
1320000,-3297.50927734375,323.9869487530561
1350000,-3306.740234375,287.83105131121044
1380000,-3290.83544921875,303.39226273713524
1410000,-3240.66064453125,296.51190000067265
1440000,-3373.00146484375,294.008834794497
1470000,-3309.984130859375,292.41055713903796
1500000,-3286.31884765625,294.54525063611936
1530000,-3376.644775390625,314.049104314144
1560000,-3309.359375,304.959614918663
1590000,-3349.61572265625,278.1242489139541
1620000,-3364.06494140625,296.2685962076098
1650000,-3335.278076171875,308.937227819866
1680000,-3329.01416015625,286.1251016749403
1710000,-3349.613037109375,314.7387894704392
1740000,-3279.72265625,265.14915539245334
1770000,-3272.29443359375,300.65986678556584
1800000,-3307.6552734375,293.2038194131875
1830000,-3278.59912109375,316.0630488599927
1860000,-3352.081298828125,300.50745403205747
1890000,-3368.1015625,284.88223289283155
1920000,-3301.85693359375,273.6774869953213
1950000,-3189.18896484375,288.9101187135232
1980000,-3301.957763671875,333.7583516433207
2010000,-3184.2275390625,288.2840331906292
2040000,-3313.01416015625,303.8143138488656
2070000,-3291.54736328125,310.5850806439155
2100000,-3198.8837890625,294.7240485786605
2130000,-3235.35888671875,321.48886816787393
2160000,-3329.154541015625,287.5745794990205
2190000,-3255.66552734375,341.4010405459685
2220000,-3306.784423828125,284.1859538231623
2250000,-3382.2119140625,294.74145921341164
2280000,-3298.918212890625,312.74072086515224
2310000,-3355.98974609375,317.07653331685054
